"","measure","pitch","fret","mod.fret","string","modification","distance","int","section","rhy","idx","moving.avg"
"1",12,"G4",12,12,1,"",NA," NA, NA","A",2,1,1
"2",12,"B4",16,16,1,"",4," +4, +0","A",2,2,1
"3",13,"D5",19,19,1,"",3," +3, +0","A",2.25,3,1
"4",13,"D3",0,19,2,"D",1," +0, +1","A",0.25,4,NA
"5",13,"C5",17,17,1,"",2.23606797749979," -2, -1","A",0.25,5,2.55901699437495
"6",13,"D3",0,17,2,"D",1," +0, +1","A",0.25,6,1.80901699437495
"7",13,"B4",16,16,1,"",1.4142135623731," -1, -1","A",0.25,7,1.41257038496822
"8",13,"D3",0,16,2,"D",1," +0, +1","A",0.25,8,1.41257038496822
"9",13,"A4",14,14,1,"",2.23606797749979," -2, -1","A",0.25,9,1.41257038496822
"10",13,"D3",0,14,2,"D",1," +0, +1","A",0.25,10,1.41257038496822
"11",14,"G4",12,12,1,"",2.23606797749979," -2, -1","A",0.25,11,1.61803398874989
"12",14,"D3",0,12,2,"D",1," +0, +1","A",0.25,12,1.61803398874989
"13",14,"G4",12,12,1,"",1," +0, -1","A",0.25,13,1.30901699437495
"14",14,"D3",0,12,2,"D",1," +0, +1","A",0.25,14,1.30901699437495
"15",14,"F#4",11,11,1,"",1.4142135623731," -1, -1","A",0.25,15,1.10355339059328
"16",14,"D3",0,11,2,"D",1," +0, +1","A",0.25,16,1.10355339059328
"17",14,"E4",9,9,1,"",2.23606797749979," -2, -1","A",0.25,17,1.41257038496822
"18",14,"D3",0,9,2,"D",1," +0, +1","A",0.25,18,1.41257038496822
"19",14,"D4",7,7,1,"",2.23606797749979," -2, -1","A",0.25,19,1.61803398874989
"20",14,"D3",0,7,2,"D",1," +0, +1","A",0.25,20,1.61803398874989
"21",14,"C4",5,5,1,"",2.23606797749979," -2, -1","A",0.25,21,1.61803398874989
"22",14,"D3",0,5,2,"D",1," +0, +1","A",0.25,22,1.61803398874989
"23",14,"B3",4,4,1,"",1.4142135623731," -1, -1","A",0.25,23,1.41257038496822
"24",14,"D3",0,4,2,"D",1," +0, +1","A",0.25,24,1.41257038496822
"25",14,"A3",2,2,1,"",2.23606797749979," -2, -1","A",0.25,25,1.41257038496822
"26",14,"D3",0,2,2,"D",1," +0, +1","A",0.25,26,1.41257038496822
"27",15,"G3",0,2,1,"D",1," +0, -1","A",0.25,27,1.30901699437495
"28",15,"D3",0,2,2,"D",1," +0, +1","A",0.25,28,1.30901699437495
"29",15,"E3",2,2,2,"",0," +0, +0","A",0.25,29,0.75
"30",15,"F#3",4,4,2,"",2," +2, +0","A",0.25,30,1
"31",15,"G3",0,4,1,"D",1," +0, -1","A",0.25,31,1
"32",15,"A3",2,2,1,"",2," -2, +0","A",0.25,32,1.25
"33",15,"B3",4,4,1,"",2," +2, +0","A",0.25,33,1.75
"34",15,"A3",2,2,1,"",2," -2, +0","A",0.25,34,1.75
"35",15,"G3",0,2,1,"D",0," +0, +0","A",0.25,35,1.5
"36",15,"D3",0,2,2,"D",1," +0, +1","A",0.25,36,1.25
"37",15,"E3",2,2,2,"",0," +0, +0","A",0.25,37,0.75
"38",15,"F#3",4,4,2,"",2," +2, +0","A",0.25,38,0.75
"39",15,"G3",0,4,1,"D",1," +0, -1","A",0.25,39,1
"40",15,"A3",2,2,1,"",2," -2, +0","A",0.25,40,1.25
"41",15,"B3",4,4,1,"",2," +2, +0","A",0.25,41,1.75
"42",15,"C4",5,5,1,"",1," +1, +0","A",0.25,42,1.5
"43",16,"D4",7,7,1,"",2," +2, +0","A",0.25,43,1.75
"44",16,"C#4",6,6,1,"",1," -1, +0","A",0.25,44,1.5
"45",16,"D4",7,7,1,"",1," +1, +0","A",0.25,45,1.25
"46",16,"E4",9,9,1,"",2," +2, +0","A",0.25,46,1.5
"47",16,"F#4",11,11,1,"",2," +2, +0","A",0.25,47,1.5
"48",16,"G4",12,12,1,"",1," +1, +0","A",0.25,48,1.5
"49",16,"A4",14,14,1,"",2," +2, +0","A",0.25,49,1.75
"50",16,"B4",16,16,1,"",2," +2, +0","A",0.25,50,1.75
"51",16,"C5",17,17,1,"",1," +1, +0","A",0.25,51,1.5
"52",16,"B4",16,16,1,"",1," -1, +0","A",0.25,52,1.5
"53",16,"A4",14,14,1,"",2," -2, +0","A",0.25,53,1.5
"54",16,"G4",12,12,1,"",2," -2, +0","A",0.25,54,1.5
"55",16,"B4",16,16,1,"",4," +4, +0","A",0.25,55,2.25
"56",16,"A4",14,14,1,"",2," -2, +0","A",0.25,56,2.5
"57",16,"G4",12,12,1,"",2," -2, +0","A",0.25,57,2.5
"58",16,"F#4",11,11,1,"",1," -1, +0","A",0.25,58,2.25
"59",17,"G4",12,12,1,"",1," +1, +0","A",0.25,59,1.5
"60",17,"D4",12,12,2,"",1," +0, +1","A",0.25,60,1.25
"61",17,"E4",14,14,2,"",2," +2, +0","A",0.25,61,1.25
"62",17,"F#4",16,16,2,"",2," +2, +0","A",0.25,62,1.5
"63",17,"G4",12,12,1,"",4.12310562561766," -4, -1","A",0.25,63,2.28077640640441
"64",17,"A4",14,14,1,"",2," +2, +0","A",0.25,64,2.53077640640441
"65",17,"B4",16,16,1,"",2," +2, +0","A",0.25,65,2.53077640640441
"66",17,"C5",17,17,1,"",1," +1, +0","A",0.25,66,2.28077640640441
"67",17,"D5",19,19,1,"",2," +2, +0","A",0.333333,67,1.75
"68",17,"G4",12,12,1,"",7," -7, +0","A",0.333333,68,3
"69",17,"B4",16,16,1,"",4," +4, +0","A",0.333333,69,3.5
"70",17,"D5",19,19,1,"",NA," +3, NA","A",0.333333,70,NA
"71",17,"G5",24,24,1,"",5," +5, +0","A",0.333333,71,NA
"72",17,"B5",27,27,1,"",3," +3, +0","A",0.333333,72,NA
"73",18,"D6",31,31,1,"",4," +4, +0","A",2,73,NA
"74",18,"D3 F#4",11,11,1,"C",NA,"-20, NA","A",2,74,NA
"75",19,"G3 B3 D4 G4",12,12,1,"C",1," +1, +0","A",1,75,NA
"76",23,"D3",0,NA,2,"B",NA," NA, NA","B",2,1,1
"77",23,"F#4",11,11,1,"",NA," NA, -1","B",1,2,1
"78",23,"D4",12,12,2,"",1.4142135623731," +1, +1","B",1,3,1
"79",24,"A4",14,14,1,"",2.23606797749979," +2, -1","B",2.5,4,NA
